course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Accounting,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=265,13,weeks,,Graduate Diploma (GDip),,,,"31,30,28,","January,March,February,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Graduate Diploma in Accounting program is designed to prepare undergraduates for entrance into CPA Canada’s Professional Education Program (PEP) at an advanced level and the ultimate completion of the non-work experience requirements of the CPA designation.   
 
The diploma is  offered by the School of Graduate and Postdoctoral Studies through the Ivey Business School (Ivey) and the DAN Department of Management & Organizational Studies in the Faculty of Social Science (DAN). 

For 2020, the DAN Program will run from May 1 - July 31; the Ivey Program will run from April 25 - July 24.",,,
Civil and Environmental Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=29,1,year,,Master of Engineering (MEng),,,,"1,1,1,","July,November,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,A Master of Engineering (MEng) degree is a professional coursework based degree offered at Western University and is offered to students who have a bachelor's engineering degree or an equivalent degree from an accredited university. The MEng program offers a course-based degree that may be a combination of course work and a project OR complete course work.,,,
Civil and Environmental Engineering,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=28,2,years,,Master of Engineering Science (MESc),,,,"1,1,1,","July,November,March,",,,46269.0,12294.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,The Master of Engineering Science (MESc) program is a thesis based Master's research degree. This program is offered to applicants who hold a four-year Bachelors Degree. It is expected that graduate students will complete all program requirements within two years.,,,
Anatomy and Cell Biology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=6,2,years,,Master of Science (MSc (Research)),,,,"1,1,15,","June,February,October,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Anatomy & Cell Biology Program offers a modern collaborative training experience catering to the needs of the individual student pursuing an MSc or PhD degree. Our dedicated, award-winning mentors and state-of-the-art facilities provide a rich training environment in which students can immerse themselves in one or more academic disciplines, including cell biology, neurobiology, anatomical sciences, and/ or education scholarship. The Biological Research field is a research-intensive, thesis-based program designed to prepare students for a career as a research scientist in academia or industry. Our Clinical Anatomy field offers a unique training experience consisting of course work, research, and hands-on teaching experience; and is intended to prepare the next generation of medical educators and scholars.",,,
Anthropology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=9,4,years,,Doctor of Philosophy (PhD),,,,"15,15,","January,December,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Anthropology is dedicated to documenting and understanding human beings. It takes as its starting proposition the idea that we can only reach such an understanding by studying people wherever and whenever they have occurred and from both a cultural and biological perspective. As such, it is one of the most diverse academic disciplines and draws its inspirations from the social sciences, natural sciences and humanities.",,,
Applied Health Sciences,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=274,1-2,years,,Graduate Diploma (Graduate Diploma),,,,"31,","May,",,,33526.0,6050.0,year,,CAD,,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"This flexible, fully-online graduate diploma prepares learners to excel and work adaptively in this rapidly changing environment and contribute to the complex problem-solving required by the health challenges of today and tomorrow. 
This program is ideal for individuals seeking skills that will prepare them to:
",,,
Advanced Health Care Practice,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=273,3,terms,,Master of Clinical Science (MClSc),,,,"1,","March,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The first program of its kind in Canada, the MClSc program is a one-year (three terms) course-based master's program offering an opportunity for experienced health-care professionals to obtain advanced training in a clinical specialty. It is delivered using a combination of online courses and three on-site, one- to three-week residency periods during which clinical skills lectures and labs are provided.",,,
Anthropology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=8,2,years,,Master of Arts (MA),,,,"15,15,","January,December,",,,,,,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"Anthropology is dedicated to documenting and understanding human beings. It takes as its starting proposition the idea that we can only reach such an understanding by studying people wherever and whenever they have occurred and from both a cultural and biological perspective. As such, it is one of the most diverse academic disciplines and draws its inspirations from the social sciences, natural sciences and humanities.",,,
Anatomy and Cell Biology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=7,4,years,,Doctor of Philosophy (PhD),,,,"1,1,15,","June,February,October,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Anatomy & Cell Biology Program offers a modern collaborative training experience catering to the needs of the individual student pursuing an MSc or PhD degree. Our dedicated, award-winning mentors and state-of-the-art facilities provide a rich training environment in which students can immerse themselves in one or more academic disciplines, including cell biology, neurobiology, anatomical sciences, and/ or education scholarship. The Biological Research field is a research-intensive, thesis-based program designed to prepare students for a career as a research scientist in academia or industry. Our Clinical Anatomy field offers a unique training experience consisting of course work, research, and hands-on teaching experience; and is intended to prepare the next generation of medical educators and scholars.",,,
Anatomy and Cell Biology,,,https://grad.uwo.ca/admissions/programs/program.cfm?p=5,1.66,years,,Master of Science (MSc (Clinical)),,,,"1,","February,",,,33526.0,6050.0,year,,CAD,full-time,6.5,6.5,6.5,6.5,6.5,,,,,,20,20,20,20,86,,,,,,,,,,,,,,"The Anatomy & Cell Biology Program offers a modern collaborative training experience catering to the needs of the individual student pursuing an MSc or PhD degree. Our dedicated, award-winning mentors and state-of-the-art facilities provide a rich training environment in which students can immerse themselves in one or more academic disciplines, including cell biology, neurobiology, anatomical sciences, and/ or education scholarship. The Biological Research field is a research-intensive, thesis-based program designed to prepare students for a career as a research scientist in academia or industry. Our Clinical Anatomy field offers a unique training experience consisting of course work, research, and hands-on teaching experience; and is intended to prepare the next generation of medical educators and scholars.",,,
